case,x_gate,window,N,P,Q
sym_shared,32,peak1,0.9957919528713766,0.001351721452285973,0.002856325676337315
sym_shared,32,valley,0.6968862586120458,0.13874236352253239,0.16437137786542186
sym_shared,32,peak2,0.8840298945778261,0.029742014430252813,0.08622809099192104
tb_asym_balanced,32,peak1,0.9974704438385695,0.0008040333107361942,0.001725522850694242
tb_asym_balanced,32,valley,0.7914324147056061,0.09681757462142757,0.11175001067296635
tb_asym_balanced,32,peak2,0.9273885835370324,0.01838549815653913,0.05422591830642852
dir_asym_easy_out_balanced,32,peak1,0.9975878472946771,0.001090983654010149,0.001321169051312691
dir_asym_easy_out_balanced,32,valley,0.753876406347549,0.14714620362366695,0.098977390028784
dir_asym_easy_out_balanced,32,peak2,0.9070342719096949,0.028559359007636276,0.06440636908266888
dir_asym_easy_in_balanced,32,peak1,0.9974453519203472,0.00044766733121491054,0.002106980748437718
dir_asym_easy_in_balanced,32,valley,0.825402063422928,0.04225787928280818,0.13234005729426382
dir_asym_easy_in_balanced,32,peak2,0.9470506569205479,0.007786904108695017,0.04516243897075707
