case,window,t_lo,t_hi,region,region_formula,cell_count,occupancy_share,mean_cell_occupancy,max_cell_occupancy,hit_mass,window_flux_c2o,window_flux_o2c
sym_shared,peak1,369,421,left_full,x < 5,75,0.011141553842369896,0.00014855405123159862,0.0007826245655596072,0.06484879703104941,0.0001506867485786933,0.0001607483142126202
sym_shared,peak1,369,421,top_full,5 <= x <= 54 and y > 9,250,0.002551521316770689,1.0206085267082756e-05,0.00041272621085455,0.06484879703104941,0.0001506867485786933,0.0001607483142126202
sym_shared,peak1,369,421,bottom_full,5 <= x <= 54 and y < 5,250,0.0025515213167706893,1.0206085267082757e-05,0.00041272621085455,0.06484879703104941,0.0001506867485786933,0.0001607483142126202
sym_shared,valley,1054,1106,left_full,x < 5,75,0.2618857463139857,0.0034918099508531425,0.006991387286112653,0.005326542445014799,0.0011516680952382006,0.0005887515103574877
sym_shared,valley,1054,1106,top_full,5 <= x <= 54 and y > 9,250,0.08627940286241181,0.00034511761144964724,0.001504571057931234,0.005326542445014799,0.0011516680952382006,0.0005887515103574877
sym_shared,valley,1054,1106,bottom_full,5 <= x <= 54 and y < 5,250,0.08627940286241181,0.00034511761144964724,0.0015045710579312346,0.005326542445014799,0.0011516680952382006,0.0005887515103574877
sym_shared,peak2,1660,1712,left_full,x < 5,75,0.14329238421417798,0.0019105651228557064,0.0036814515404352825,0.012702182141560533,0.0011640974939843758,0.0004660340181603211
sym_shared,peak2,1660,1712,top_full,5 <= x <= 54 and y > 9,250,0.17122551531641056,0.0006849020612656422,0.0010302254284454474,0.012702182141560533,0.0011640974939843758,0.0004660340181603211
sym_shared,peak2,1660,1712,bottom_full,5 <= x <= 54 and y < 5,250,0.17122551531641056,0.0006849020612656422,0.0010302254284454474,0.012702182141560533,0.0011640974939843758,0.0004660340181603211
