K,window,class,prop,SE,ci_low,ci_high,n
K=2,peak1,C0J0,0.0,0.0,0.0,0.0,979
K=2,peak1,C1pJ0,1.0,0.0,1.0,1.0,979
K=2,peak1,C0J1p,0.0,0.0,0.0,0.0,979
K=2,peak1,C1pJ1p,0.0,0.0,0.0,0.0,979
K=2,valley,C0J0,0.07672892478546191,0.007552371996607687,0.06192627567211084,0.09153157389881297,1242
K=2,valley,C1pJ0,0.9232710752145382,0.007552371996607681,0.9084684261011872,0.9380737243278893,1242
K=2,valley,C0J1p,0.0,0.0,0.0,0.0,1242
K=2,valley,C1pJ1p,0.0,0.0,0.0,0.0,1242
K=2,peak2,C0J0,0.8514492753623191,0.00920113660865321,0.8334150476093588,0.8694835031152793,1494
K=2,peak2,C1pJ0,0.14855072463768115,0.009201136608653215,0.13051649688472086,0.16658495239064144,1494
K=2,peak2,C0J1p,0.0,0.0,0.0,0.0,1494
K=2,peak2,C1pJ1p,0.0,0.0,0.0,0.0,1494
K=4,peak1,C0J0,0.0,0.0,0.0,0.0,924
K=4,peak1,C1pJ0,0.696969696969697,0.01511868409418948,0.6673370761450856,0.7266023177943084,924
K=4,peak1,C0J1p,0.0,0.0,0.0,0.0,924
K=4,peak1,C1pJ1p,0.30303030303030304,0.015118684094189481,0.27339768220569166,0.3326629238549144,924
K=4,valley,C0J0,0.05851063829787234,0.007655282107997698,0.043506285366196856,0.07351499122954783,940
K=4,valley,C1pJ0,0.5936170212765958,0.016019796706525383,0.562218219731806,0.6250158228213856,940
K=4,valley,C0J1p,0.0031914893617021275,0.001839664561629424,0.0,0.0067972319024957985,940
K=4,valley,C1pJ1p,0.3446808510638298,0.015501405632000363,0.31429809602510905,0.3750636061025505,940
K=4,peak2,C0J0,0.6814179042530197,0.006149271655612598,0.669365331808019,0.6934704766980204,5741
K=4,peak2,C1pJ0,0.041496086666569544,0.0026321264097720876,0.03633711890341625,0.046655054429722835,5741
K=4,peak2,C0J1p,0.24897420807063128,0.005707038894477759,0.23778841183745486,0.2601600043038077,5741
K=4,peak2,C1pJ1p,0.028111801009779457,0.002181517574059473,0.02383602656462289,0.03238757545493602,5741
