beta,phase,t1,t2,tv,n_peaks,peak_ratio,peak_ratio_dir,valley_ratio,is_bimodal
0.0,1,192,322,264,2,0.1938222771022492,0.1938222771022492,0.010650904116814908,0
0.02,1,192,322,266,2,0.19241172891666547,0.19241172891666547,0.01959521041274204,0
0.04,1,192,322,268,2,0.19109917134739685,0.19109917134739685,0.02764310994467404,0
0.06,1,192,322,270,2,0.18988077203424492,0.18988077203424492,0.034949921065910924,0
0.08,1,192,322,271,2,0.1887526664480135,0.1887526664480135,0.04169631124671517,0
0.1,1,192,322,273,2,0.1877109778219016,0.1877109778219016,0.047950811369233196,0
0.12,1,192,322,274,2,0.18675183463484965,0.18675183463484965,0.05387575068213843,0
0.14,1,192,322,275,2,0.1858713859551763,0.1858713859551763,0.059530604680428374,0
0.16,2,107,322,276,3,0.37088460038726934,0.37088460038726934,0.13019691147706353,1
0.18,2,108,322,277,3,0.33532147595429,0.33532147595429,0.1277555693452349,1
0.2,2,108,321,278,3,0.30633499651607066,0.30633499651607066,0.1256882453829077,1
0.22,2,109,321,278,3,0.28250360043790246,0.28250360043790246,0.12397332265017061,1
0.24,2,109,321,279,3,0.2624196031028289,0.2624196031028289,0.12248206335152473,1
0.26,2,109,321,280,3,0.2454360845344435,0.2454360845344435,0.1213295639568958,1
0.28,2,109,321,280,3,0.23091365037296385,0.23091365037296385,0.12036740931445364,1
0.3,2,109,321,281,3,0.2183771166399092,0.2183771166399092,0.11963792423157728,1
